DivisionID,DivisionNm,GivenNm,Surname,BallotPosition,Elected,PartyAb,PartyNm,TotalVotes
1,Algester,Informal,Informal,0,N,Informal,Informal,1142
1,Algester,Nerissa,AITKEN,1,N,Liberal National Party of Queensland,LNP,7505
1,Algester,Wayne,STACEY,2,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,2147
1,Algester,Josie,MIRA,3,N,Queensland Greens,The Greens,2514
1,Algester,Leeanne,ENOCH,4,Y,Australian Labor Party (State of Queensland),Australian Labor Party,17452
2,Aspley,Informal,Informal,0,N,Informal,Informal,711
2,Aspley,Walter,HARDY,1,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,1141
2,Aspley,Neil,SKILBECK,2,N,Civil Liberties & Motorists Party,CLMP,305
2,Aspley,James,HANSEN,3,N,Queensland Greens,The Greens,2997
2,Aspley,Joshua,MORRISON,4,N,Clive Palmer's United Australia Party,Clive Palmer's UAP,247
2,Aspley,Bart,MELLISH,5,Y,Australian Labor Party (State of Queensland),Australian Labor Party,15261
2,Aspley,Amanda,COOPER,6,N,Liberal National Party of Queensland,LNP,13579
3,Bancroft,Informal,Informal,0,N,Informal,Informal,1017
3,Bancroft,Chris,WHITING,1,Y,Australian Labor Party (State of Queensland),Australian Labor Party,16301
3,Bancroft,Barry,GRANT,2,N,Independent,IND,1001
3,Bancroft,Ell-Leigh,ACKERMAN,3,N,Queensland Greens,The Greens,1820
3,Bancroft,Phil,CARLSON,4,N,Liberal National Party of Queensland,LNP,8626
3,Bancroft,Nik,AAI REDDY,5,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,2666
4,Barron River,Informal,Informal,0,N,Informal,Informal,1059
4,Barron River,Aaron,MCDONALD,1,N,Queensland Greens,The Greens,4134
4,Barron River,Craig,CRAWFORD,2,Y,Australian Labor Party (State of Queensland),Australian Labor Party,12385
4,Barron River,Jenny,BROWN,3,N,Clive Palmer's United Australia Party,Clive Palmer's UAP,345
4,Barron River,Susan,ANDREWS,4,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,1852
4,Barron River,Adam,ROWE,5,N,Informed Medical Options Party (IMOP),IMOP,575
4,Barron River,Linda,COOPER,6,N,Liberal National Party of Queensland,LNP,12092
5,Bonney,Informal,Informal,0,N,Informal,Informal,1115
5,Bonney,Leana,MARQUET,1,N,Independent,IND,498
5,Bonney,Sam,O'CONNOR,2,Y,Liberal National Party of Queensland,LNP,15323
5,Bonney,Ash,BORG,3,N,Australian Labor Party (State of Queensland),Australian Labor Party,9226
5,Bonney,David,BARK,4,N,Clive Palmer's United Australia Party,Clive Palmer's UAP,381
5,Bonney,Michael,RIX,5,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,1113
5,Bonney,Amin,JAVANMARD,6,N,Queensland Greens,The Greens,2229
6,Broadwater,Informal,Informal,0,N,Informal,Informal,1004
6,Broadwater,Jesse,SCHNEIDER,1,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,1796
6,Broadwater,Maureen,SIMPSON,2,N,Australian Labor Party (State of Queensland),Australian Labor Party,8041
6,Broadwater,April,BROADBENT,3,N,Queensland Greens,The Greens,1583
6,Broadwater,Mara,KRISCHKER,4,N,Clive Palmer's United Australia Party,Clive Palmer's UAP,441
6,Broadwater,David,CRISAFULLI,5,Y,Liberal National Party of Queensland,LNP,18059
6,Broadwater,Natalie,O'DONNELL,6,N,Informed Medical Options Party (IMOP),IMOP,386
7,Buderim,Informal,Informal,0,N,Informal,Informal,1293
7,Buderim,Michael,ANDREWS,1,N,Independent,IND,741
7,Buderim,Deborah,MOSELEY,2,N,Queensland Greens,The Greens,3422
7,Buderim,Alison,BARRY-JONES,3,N,Independent,IND,572
7,Buderim,Joyce,HOSKING,4,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,1477
7,Buderim,Ken,MACKENZIE,5,N,Australian Labor Party (State of Queensland),Australian Labor Party,8932
7,Buderim,Steve,DICKSON,6,N,Independent,IND,2234
7,Buderim,Daniel,PHILP,7,N,Clive Palmer's United Australia Party,Clive Palmer's UAP,191
7,Buderim,Brent,MICKELBERG,8,Y,Liberal National Party of Queensland,LNP,13443
7,Buderim,Alina,LEE,9,N,Informed Medical Options Party (IMOP),IMOP,601
8,Bulimba,Informal,Informal,0,N,Informal,Informal,673
8,Bulimba,Anthony,BISHOP,1,N,Liberal National Party of Queensland,LNP,11883
8,Bulimba,Rolf,KUELSEN,2,N,Queensland Greens,The Greens,4665
8,Bulimba,Finn,ARMSTRONG-SCHMAKEIT,3,N,Independent,IND,659
8,Bulimba,Doug,CONWAY,4,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,785
8,Bulimba,Di,FARMER,5,Y,Australian Labor Party (State of Queensland),Australian Labor Party,16764
9,Bundaberg,Informal,Informal,0,N,Informal,Informal,1105
9,Bundaberg,Ian,ZUNKER,1,N,Legalise Cannabis Qld (Party),LCQP,1669
9,Bundaberg,Claire,OGDEN,2,N,Queensland Greens,The Greens,964
9,Bundaberg,Shane,SMELTZ,3,N,Clive Palmer's United Australia Party,Clive Palmer's UAP,244
9,Bundaberg,Stewart,JONES,4,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,1766
9,Bundaberg,David,BATT,5,N,Liberal National Party of Queensland,LNP,12577
9,Bundaberg,Tom,SMITH,6,Y,Australian Labor Party (State of Queensland),Australian Labor Party,13053
10,Bundamba,Informal,Informal,0,N,Informal,Informal,1344
10,Bundamba,Lance,MCCALLUM,1,Y,Australian Labor Party (State of Queensland),Australian Labor Party,17015
10,Bundamba,Sharon,BELL,2,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,4553
10,Bundamba,Angela,LOWERY,3,N,Animal Justice Party (Queensland),Animal Justice Party,1099
10,Bundamba,Danielle,MUTTON,4,N,Queensland Greens,The Greens,3127
10,Bundamba,Rob,SHEARMAN,5,N,Liberal National Party of Queensland,LNP,4635
11,Burdekin,Informal,Informal,0,N,Informal,Informal,1012
11,Burdekin,Dominique,THIRIET,1,N,Animal Justice Party (Queensland),Animal Justice Party,419
11,Burdekin,Jack,SMITH,2,N,Queensland Greens,The Greens,600
11,Burdekin,Michael,BRUNKER,3,N,Australian Labor Party (State of Queensland),Australian Labor Party,9425
11,Burdekin,Sam,COX,4,N,Katter's Australian Party (KAP),KAP,4212
11,Burdekin,Clive,REMMER,5,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,2080
11,Burdekin,Dale,LAST,6,Y,Liberal National Party of Queensland,LNP,11792
11,Burdekin,Benjamin,WOOD,7,N,Clive Palmer's United Australia Party,Clive Palmer's UAP,274
11,Burdekin,Carolyn,MORIARTY,8,N,North Queensland First,NQF,900
12,Burleigh,Informal,Informal,0,N,Informal,Informal,1297
12,Burleigh,Georgie,BATTY,1,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,2114
12,Burleigh,Scott,WALLACE,2,N,Animal Justice Party (Queensland),Animal Justice Party,948
12,Burleigh,Michael,HART,3,Y,Liberal National Party of Queensland,LNP,11743
12,Burleigh,Ingrid,WEBER,4,N,Legalise Cannabis Qld (Party),LCQP,1085
12,Burleigh,Rachel,MEBBERSON,5,N,Queensland Greens,The Greens,2753
12,Burleigh,Carlo,FILINGERI,6,N,Clive Palmer's United Australia Party,Clive Palmer's UAP,321
12,Burleigh,Wayne (Rabbit),BARTHOLOMEW,7,N,Australian Labor Party (State of Queensland),Australian Labor Party,10609
13,Burnett,Informal,Informal,0,N,Informal,Informal,1311
13,Burnett,Liam,JOHNS,1,N,Queensland Greens,The Greens,1436
13,Burnett,Ric,GLASS,2,N,Independent,IND,235
13,Burnett,Geoffrey,MANSELL,3,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,2832
13,Burnett,Stephen,BENNETT,4,Y,Liberal National Party of Queensland,LNP,15330
13,Burnett,Elizabeth,CASE,5,N,Informed Medical Options Party (IMOP),IMOP,682
13,Burnett,Kerri,MORGAN,6,N,Australian Labor Party (State of Queensland),Australian Labor Party,9686
13,Burnett,Paul,HUDSON,7,N,Katter's Australian Party (KAP),KAP,1336
14,Cairns,Informal,Informal,0,N,Informal,Informal,1056
14,Cairns,Sam,MARINO,1,N,Liberal National Party of Queensland,LNP,10505
14,Cairns,Darrin,GRIFFITH,2,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,1707
14,Cairns,Sarah,BAXTER,3,N,Informed Medical Options Party (IMOP),IMOP,724
14,Cairns,David,WRIGHT,4,N,Clive Palmer's United Australia Party,Clive Palmer's UAP,302
14,Cairns,Daniel,DENCH,5,N,Queensland Greens,The Greens,2829
14,Cairns,Michael,HEALY,6,Y,Australian Labor Party (State of Queensland),Australian Labor Party,12727
15,Callide,Informal,Informal,0,N,Informal,Informal,887
15,Callide,Anthony,WALSH,1,N,Queensland Greens,The Greens,1147
15,Callide,Gordon,EARNSHAW,2,N,Australian Labor Party (State of Queensland),Australian Labor Party,7463
15,Callide,Colin,BOYCE,3,Y,Liberal National Party of Queensland,LNP,16608
15,Callide,Adam,BURLING,4,N,Independent,IND,2444
15,Callide,Loris,DOESSEL,5,N,Independent,IND,1371
16,Caloundra,Informal,Informal,0,N,Informal,Informal,1497
16,Caloundra,Raelene,ELLIS,1,N,Queensland Greens,The Greens,3281
16,Caloundra,Mike,JESSOP,2,N,Independent,IND,245
16,Caloundra,Belinda,HART,3,N,Informed Medical Options Party (IMOP),IMOP,783
16,Caloundra,Luke,POLAND,4,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,2007
16,Caloundra,Mathew,HILL,5,N,Independent,IND,238
16,Caloundra,Stuart,COWARD,6,N,Liberal National Party of Queensland,LNP,12234
16,Caloundra,Trevor,GRAY,7,N,Clive Palmer's United Australia Party,Clive Palmer's UAP,255
16,Caloundra,Jason,HUNT,8,Y,Australian Labor Party (State of Queensland),Australian Labor Party,13406
17,Capalaba,Informal,Informal,0,N,Informal,Informal,1246
17,Capalaba,Don,BROWN,1,Y,Australian Labor Party (State of Queensland),Australian Labor Party,15160
17,Capalaba,Michael,METZEN,2,N,Queensland Greens,The Greens,2500
17,Capalaba,Marilyn,WINTERS,3,N,Informed Medical Options Party (IMOP),IMOP,530
17,Capalaba,Neal,GILMORE,4,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,1631
17,Capalaba,Peter Ronald,CALLIL,5,N,Civil Liberties & Motorists Party,CLMP,252
17,Capalaba,Bev,WALTERS,6,N,Liberal National Party of Queensland,LNP,9719
17,Capalaba,Paul,BRANAGAN,7,N,Independent,IND,1655
18,Chatsworth,Informal,Informal,0,N,Informal,Informal,800
18,Chatsworth,Aaron,CLARKE,1,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,965
18,Chatsworth,Madonna,GUY,2,N,Informed Medical Options Party (IMOP),IMOP,362
18,Chatsworth,Lisa,O'DONNELL,3,N,Australian Labor Party (State of Queensland),Australian Labor Party,12497
18,Chatsworth,Steve,MINNIKIN,4,Y,Liberal National Party of Queensland,LNP,14614
18,Chatsworth,Andrew,CROOK,5,N,Clive Palmer's United Australia Party,Clive Palmer's UAP,191
18,Chatsworth,Kathryn,FRY,6,N,Queensland Greens,The Greens,2941
19,Clayfield,Informal,Informal,0,N,Informal,Informal,719
19,Clayfield,Tim,NICHOLLS,1,Y,Liberal National Party of Queensland,LNP,15979
19,Clayfield,Andrew,BARTLETT,2,N,Queensland Greens,The Greens,6132
19,Clayfield,Philip,ANTHONY,3,N,Australian Labor Party (State of Queensland),Australian Labor Party,11157
19,Clayfield,Kathy,MOLONEY,4,N,Civil Liberties & Motorists Party,CLMP,254
19,Clayfield,Robert,KING,5,N,Independent,IND,478
19,Clayfield,Abby,DOUGLAS,6,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,817
20,Condamine,Informal,Informal,0,N,Informal,Informal,993
20,Condamine,Sean,WOMERSLEY,1,N,Queensland Greens,The Greens,1659
20,Condamine,Greg,PRIEBE,2,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,5286
20,Condamine,Pat,WEIR,3,Y,Liberal National Party of Queensland,LNP,18466
20,Condamine,Brendon,HUYBREGTS,4,N,Australian Labor Party (State of Queensland),Australian Labor Party,7775
20,Condamine,Nui,HARRIS,5,N,Clive Palmer's United Australia Party,Clive Palmer's UAP,595
21,Cook,Informal,Informal,0,N,Informal,Informal,1167
21,Cook,Yodie,BATZKE,1,N,Independent,IND,1000
21,Cook,Ed (Nipper),BROWN,2,N,Liberal National Party of Queensland,LNP,6241
21,Cook,Desmond,TAYLEY,3,N,North Queensland First,NQF,624
21,Cook,Brett (Beaver),NEAL,4,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,1717
21,Cook,Deby,RUDDELL,5,N,Queensland Greens,The Greens,1306
21,Cook,Tanika,PARKER,6,N,Katter's Australian Party (KAP),KAP,4458
21,Cook,Cynthia,LUI,7,Y,Australian Labor Party (State of Queensland),Australian Labor Party,10363
21,Cook,Stephen,GOULMY,8,N,Clive Palmer's United Australia Party,Clive Palmer's UAP,184
22,Coomera,Informal,Informal,0,N,Informal,Informal,1888
22,Coomera,Lissy,GAVRANICH,1,N,Queensland Greens,The Greens,3015
22,Coomera,Chris,JOHNSON,2,N,Australian Labor Party (State of Queensland),Australian Labor Party,13310
22,Coomera,Heath,GALLAGHER,3,N,Clive Palmer's United Australia Party,Clive Palmer's UAP,618
22,Coomera,She,D'MONTFORD,4,N,Informed Medical Options Party (IMOP),IMOP,481
22,Coomera,Michael,CRANDON,5,Y,Liberal National Party of Queensland,LNP,14655
22,Coomera,Darryl,PROUT,6,N,Animal Justice Party (Queensland),Animal Justice Party,977
22,Coomera,Kris,BOURBON,7,N,Independent,IND,558
22,Coomera,Tabita,WILKINSON,8,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,3051
23,Cooper,Informal,Informal,0,N,Informal,Informal,443
23,Cooper,Robert,WILTSHIRE,1,N,Independent,IND,366
23,Cooper,Susan,VENTNOR,2,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,587
23,Cooper,Katinka,WINSTON-ALLOM,3,N,Queensland Greens,The Greens,10000
23,Cooper,Trent,WISEMAN,4,N,Liberal National Party of Queensland,LNP,11285
23,Cooper,Jonty,BUSH,5,Y,Australian Labor Party (State of Queensland),Australian Labor Party,11509
24,Currumbin,Informal,Informal,0,N,Informal,Informal,1454
24,Currumbin,Tracy,TAKACS-THORNE,1,N,Independent,IND,1048
24,Currumbin,Richard,STUCKEY,2,N,Independent,IND,1681
24,Currumbin,Peter,BURGOYNE,3,N,Queensland Greens,The Greens,2933
24,Currumbin,Kaylee,CAMPRADT,4,N,Australian Labor Party (State of Queensland),Australian Labor Party,10317
24,Currumbin,Laura,GERBER,5,Y,Liberal National Party of Queensland,LNP,11957
24,Currumbin,Glen,WADSWORTH,6,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,1193
24,Currumbin,Anna,PALMER,7,N,Clive Palmer's United Australia Party,Clive Palmer's UAP,460
24,Currumbin,Ian,LOGAN,8,N,Independent,IND,127
25,Everton,Informal,Informal,0,N,Informal,Informal,782
25,Everton,Mal,JOHNSON,1,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,1051
25,Everton,Frank,JORDAN,2,N,Legalise Cannabis Qld (Party),LCQP,871
25,Everton,Joanne,DISSANAYAKE,3,N,Informed Medical Options Party (IMOP),IMOP,264
25,Everton,Tim,MANDER,4,Y,Liberal National Party of Queensland,LNP,15455
25,Everton,Danielle,SHANKEY,5,N,Australian Labor Party (State of Queensland),Australian Labor Party,12755
25,Everton,Jabez,WELLS,6,N,Independent,IND,105
25,Everton,Helen,RATH,7,N,Queensland Greens,The Greens,3098
25,Everton,Simon,RUSS,8,N,Clive Palmer's United Australia Party,Clive Palmer's UAP,152
26,Ferny Grove,Informal,Informal,0,N,Informal,Informal,870
26,Ferny Grove,Susan,PINI,1,N,Informed Medical Options Party (IMOP),IMOP,510
26,Ferny Grove,John,MCCABE,2,N,Clive Palmer's United Australia Party,Clive Palmer's UAP,191
26,Ferny Grove,Mark,SCOFIELD,3,N,Independent,IND,467
26,Ferny Grove,Mark,FURNER,4,Y,Australian Labor Party (State of Queensland),Australian Labor Party,14577
26,Ferny Grove,Elton,WILLIAMS,5,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,956
26,Ferny Grove,Joel,COLLS,6,N,Queensland Greens,The Greens,4910
26,Ferny Grove,Chris,LEHMANN,7,N,Liberal National Party of Queensland,LNP,10714
27,Gaven,Informal,Informal,0,N,Informal,Informal,1419
27,Gaven,Sharon,SEWELL,1,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,2239
27,Gaven,Meaghan,SCANLON,2,Y,Australian Labor Party (State of Queensland),Australian Labor Party,12932
27,Gaven,Suzette,LUYKEN,3,N,Legalise Cannabis Qld (Party),LCQP,1065
27,Gaven,Reyna,DRAKE,4,N,Civil Liberties & Motorists Party,CLMP,192
27,Gaven,Garry,BECK,5,N,Clive Palmer's United Australia Party,Clive Palmer's UAP,292
27,Gaven,Kirsten,JACKSON,6,N,Liberal National Party of Queensland,LNP,9021
27,Gaven,Sally,SPAIN,7,N,Queensland Greens,The Greens,1503
28,Gladstone,Informal,Informal,0,N,Informal,Informal,924
28,Gladstone,Murray,PETERSON,1,N,Independent,IND,1162
28,Gladstone,Kevin,JORGENSEN,2,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,3677
28,Gladstone,Ron,HARDING,3,N,Liberal National Party of Queensland,LNP,4339
28,Gladstone,Glenn,BUTCHER,4,Y,Australian Labor Party (State of Queensland),Australian Labor Party,18429
28,Gladstone,Emma,EASTAUGHFFE,5,N,Queensland Greens,The Greens,1011
29,Glass House,Informal,Informal,0,N,Informal,Informal,1083
29,Glass House,Graeme,CAMPBELL,1,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,3134
29,Glass House,James,MCDONALD,2,N,Clive Palmer's United Australia Party,Clive Palmer's UAP,343
29,Glass House,Brent,HAMPSTEAD,3,N,Australian Labor Party (State of Queensland),Australian Labor Party,9753
29,Glass House,Andrew,MCLEAN,4,N,Queensland Greens,The Greens,3937
29,Glass House,Andrew,POWELL,5,Y,Liberal National Party of Queensland,LNP,12265
29,Glass House,Laressa,MCCOY,6,N,Informed Medical Options Party (IMOP),IMOP,1015
30,Greenslopes,Informal,Informal,0,N,Informal,Informal,640
30,Greenslopes,John,BOOKER,1,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,805
30,Greenslopes,Joe,KELLY,2,Y,Australian Labor Party (State of Queensland),Australian Labor Party,13426
30,Greenslopes,Victor,HUML,3,N,Queensland Greens,The Greens,7609
30,Greenslopes,Andrew,NEWBOLD,4,N,Liberal National Party of Queensland,LNP,10238
30,Greenslopes,Jasmine (Jazzy),MELHOP,5,N,Informed Medical Options Party (IMOP),IMOP,403
31,Gregory,Informal,Informal,0,N,Informal,Informal,577
31,Gregory,Paul,BAMBRICK,1,N,Queensland Greens,The Greens,580
31,Gregory,Lachlan,MILLAR,2,Y,Liberal National Party of Queensland,LNP,11197
31,Gregory,Thomas,TURNER,3,N,Clive Palmer's United Australia Party,Clive Palmer's UAP,288
31,Gregory,Tania,KIARA,4,N,Informed Medical Options Party (IMOP),IMOP,256
31,Gregory,Dave,KERRIGAN,5,N,Australian Labor Party (State of Queensland),Australian Labor Party,5121
31,Gregory,Bruce,CURRIE,6,N,Civil Liberties & Motorists Party,CLMP,370
31,Gregory,Clint,ROTHERY,7,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,2861
32,Gympie,Informal,Informal,0,N,Informal,Informal,1676
32,Gympie,Roland,MAERTENS,1,N,Independent,IND,457
32,Gympie,Tony,PERRETT,2,Y,Liberal National Party of Queensland,LNP,14071
32,Gympie,Tim,JEROME,3,N,Independent,IND,1709
32,Gympie,Donna,REARDON,4,N,Independent,IND,636
32,Gympie,Michael,BLAXLAND,5,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,4172
32,Gympie,Nicholas,FAIRBAIRN,6,N,Informed Medical Options Party (IMOP),IMOP,566
32,Gympie,Lauren,GRANGER-BROWN,7,N,Queensland Greens,The Greens,2060
32,Gympie,Geoff,WILLIAMS,8,N,Australian Labor Party (State of Queensland),Australian Labor Party,9501
33,Hervey Bay,Informal,Informal,0,N,Informal,Informal,1247
33,Hervey Bay,Steve,COLEMAN,1,N,Liberal National Party of Queensland,LNP,11637
33,Hervey Bay,Damian,HUXHAM,2,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,3773
33,Hervey Bay,Adrian,TANTARI,3,Y,Australian Labor Party (State of Queensland),Australian Labor Party,13382
33,Hervey Bay,Amy,BYRNES,4,N,Animal Justice Party (Queensland),Animal Justice Party,1024
33,Hervey Bay,Sonja,GERDSEN,5,N,Queensland Greens,The Greens,1061
33,Hervey Bay,Stuart,TAYLOR,6,N,Independent,IND,3001
34,Hill,Informal,Informal,0,N,Informal,Informal,1179
34,Hill,Tara,GAROZZO,1,N,Informed Medical Options Party (IMOP),IMOP,850
34,Hill,Peter,CAMPION,2,N,Independent,IND,414
34,Hill,Shane,KNUTH,3,Y,Katter's Australian Party (KAP),KAP,16970
34,Hill,Nick,CUDA,4,N,Liberal National Party of Queensland,LNP,5466
34,Hill,Chester Gordon,TUXFORD,5,N,Independent,IND,114
34,Hill,Michael,HODGKINS,6,N,Australian Labor Party (State of Queensland),Australian Labor Party,6354
34,Hill,Jennifer,COX,7,N,Queensland Greens,The Greens,2083
35,Hinchinbrook,Informal,Informal,0,N,Informal,Informal,1053
35,Hinchinbrook,Michael,SULLIVAN,1,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,2097
35,Hinchinbrook,Carolyn,MEWING,2,N,Queensland Greens,The Greens,1010
35,Hinchinbrook,Aurelio,MASON,3,N,Clive Palmer's United Australia Party,Clive Palmer's UAP,393
35,Hinchinbrook,Jen,SACKLEY,4,N,Independent,IND,351
35,Hinchinbrook,Scott,PIPER,5,N,Liberal National Party of Queensland,LNP,7342
35,Hinchinbrook,Paul,JACOB,6,N,Australian Labor Party (State of Queensland),Australian Labor Party,5723
35,Hinchinbrook,Nick,DAMETTO,7,Y,Katter's Australian Party (KAP),KAP,12522
36,Inala,Informal,Informal,0,N,Informal,Informal,1521
36,Inala,Scott,REID,1,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,1341
36,Inala,Peter,MURPHY,2,N,Queensland Greens,The Greens,2275
36,Inala,Annastacia,PALASZCZUK,3,Y,Australian Labor Party (State of Queensland),Australian Labor Party,19888
36,Inala,Nigel,QUINLAN,4,N,Legalise Cannabis Qld (Party),LCQP,734
36,Inala,Terry,JONES,5,N,Independent,IND,197
36,Inala,Michael,VIDAL,6,N,Civil Liberties & Motorists Party,CLMP,183
36,Inala,Miljenka,PEROVIC,7,N,Liberal National Party of Queensland,LNP,4879
37,Ipswich,Informal,Informal,0,N,Informal,Informal,903
37,Ipswich,Suzie,HOLMES,1,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,3947
37,Ipswich,Pat,WALSH,2,N,Queensland Greens,The Greens,2396
37,Ipswich,Scott,O'CONNELL,3,N,Liberal National Party of Queensland,LNP,5769
37,Ipswich,Shelly,MORTON,4,N,Legalise Cannabis Qld (Party),LCQP,1565
37,Ipswich,Jennifer,HOWARD,5,Y,Australian Labor Party (State of Queensland),Australian Labor Party,14699
38,Ipswich West,Informal,Informal,0,N,Informal,Informal,1252
38,Ipswich West,Clem,GRIEGER,1,N,Civil Liberties & Motorists Party,CLMP,565
38,Ipswich West,Raven,WOLF,2,N,Queensland Greens,The Greens,1957
38,Ipswich West,Karakan Karoly,KOCHARDY,3,N,Independent,IND,321
38,Ipswich West,Chris,GREEN,4,N,Liberal National Party of Queensland,LNP,6328
38,Ipswich West,Gary,DUFFY,5,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,4412
38,Ipswich West,Anthony,HOPKINS,6,N,Legalise Cannabis Qld (Party),LCQP,1361
38,Ipswich West,Jim,MADDEN,7,Y,Australian Labor Party (State of Queensland),Australian Labor Party,15033
39,Jordan,Informal,Informal,0,N,Informal,Informal,1197
39,Jordan,Navdeep Singh,SIDHU,1,N,Queensland Greens,The Greens,3579
39,Jordan,Neil,SYMES,2,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,3705
39,Jordan,Andrew,MOONEY,3,N,Liberal National Party of Queensland,LNP,7560
39,Jordan,Charis,MULLEN,4,Y,Australian Labor Party (State of Queensland),Australian Labor Party,18471
40,Kawana,Informal,Informal,0,N,Informal,Informal,1038
40,Kawana,Lynette,MOUSSALLI,1,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,1924
40,Kawana,Anna,SRI,2,N,Queensland Greens,The Greens,2965
40,Kawana,Afrikah,MCGLADRIGAN,3,N,Clive Palmer's United Australia Party,Clive Palmer's UAP,324
40,Kawana,Jarrod,BLEIJIE,4,Y,Liberal National Party of Queensland,LNP,16148
40,Kawana,Pamela,MARIKO,5,N,Animal Justice Party (Queensland),Animal Justice Party,569
40,Kawana,Bill,REDPATH,6,N,Australian Labor Party (State of Queensland),Australian Labor Party,9835
41,Keppel,Informal,Informal,0,N,Informal,Informal,973
41,Keppel,Brittany,LAUGA,1,Y,Australian Labor Party (State of Queensland),Australian Labor Party,14969
41,Keppel,Adrian,DE GROOT,2,N,Liberal National Party of Queensland,LNP,9576
41,Keppel,Jimmy,DOCKERY,3,N,Legalise Cannabis Qld (Party),LCQP,862
41,Keppel,Nikki,SMELTZ,4,N,Clive Palmer's United Australia Party,Clive Palmer's UAP,192
41,Keppel,Wade,ROTHERY,5,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,5069
41,Keppel,Paula,GANFIELD,6,N,Informed Medical Options Party (IMOP),IMOP,430
41,Keppel,Clancy,MULLBRICK,7,N,Queensland Greens,The Greens,1291
42,Kurwongbah,Informal,Informal,0,N,Informal,Informal,1192
42,Kurwongbah,Earl,SNIJDERS,1,N,Queensland Greens,The Greens,2317
42,Kurwongbah,Thor,PROHASKA,2,N,Independent,IND,721
42,Kurwongbah,Kerry,PETRUS,3,N,Liberal National Party of Queensland,LNP,8460
42,Kurwongbah,Heather,DWANE,4,N,Animal Justice Party (Queensland),Animal Justice Party,787
42,Kurwongbah,Kim,ATTRILL,5,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,2834
42,Kurwongbah,Shane,KING,6,Y,Australian Labor Party (State of Queensland),Australian Labor Party,16243
43,Lockyer,Informal,Informal,0,N,Informal,Informal,1091
43,Lockyer,Andrew,ROCKLIFF,1,N,Clive Palmer's United Australia Party,Clive Palmer's UAP,563
43,Lockyer,Corey,WEST,2,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,4010
43,Lockyer,Janet,BUTLER,3,N,Australian Labor Party (State of Queensland),Australian Labor Party,7477
43,Lockyer,Jim,SAVAGE,4,N,Independent,IND,3057
43,Lockyer,Rebecca,HALEY,5,N,Queensland Greens,The Greens,1489
43,Lockyer,Jim,MCDONALD,6,Y,Liberal National Party of Queensland,LNP,13662
44,Logan,Informal,Informal,0,N,Informal,Informal,1205
44,Logan,Peter,WEBER,1,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,4283
