DivisionNm,CountNumber,BallotPosition,Surname,GivenNm,PartyAb,PartyNm,Elected,PreferenceCount,PreferencePercent,TransferCount,TransferPercent,Winner,DistributingBallotPosition,DistributingSurname,DistributingGivenNm,DistributingPartyAb,DistributingPartyNm
Brisbane City Deagon,1,2,WASHINGTON,Kimberley,LNP,Liberal National Party of Queensland,N,9001,35.68,82,13.99,ALP,3,MOLONEY,Kathy,,Motorists Party
Brisbane City Deagon,1,3,MOLONEY,Kathy,,Motorists Party,N,0,0,-586,-100.0,ALP,3,MOLONEY,Kathy,,Motorists Party
Brisbane City Deagon,1,4,WALSH,Anthony,GRN,Queensland Greens,N,3021,11.98,86,14.68,ALP,3,MOLONEY,Kathy,,Motorists Party
Brisbane City Deagon,1,5,Exhausted,Exhausted,Exhausted,Exhausted,N,341,1.33,341,58.19,ALP,3,MOLONEY,Kathy,,Motorists Party
Brisbane City Deagon,2,1,CASSIDY,Jared,ALP,Australian Labor Party (State of Queensland),Y,14818,61.48,1614,53.43,ALP,4,WALSH,Anthony,GRN,Queensland Greens
Brisbane City Deagon,2,2,WASHINGTON,Kimberley,LNP,Liberal National Party of Queensland,N,9284,38.52,283,9.37,ALP,4,WALSH,Anthony,GRN,Queensland Greens
Brisbane City Deagon,2,3,MOLONEY,Kathy,,Motorists Party,N,0,0,0,0,ALP,4,WALSH,Anthony,GRN,Queensland Greens
Brisbane City Deagon,2,4,WALSH,Anthony,GRN,Queensland Greens,N,0,0,-3021,-100.0,ALP,4,WALSH,Anthony,GRN,Queensland Greens
Brisbane City Deagon,2,5,Exhausted,Exhausted,Exhausted,Exhausted,N,1465,5.73,1124,37.21,ALP,4,WALSH,Anthony,GRN,Queensland Greens
Brisbane City Enoggera,0,1,BUSH,Jonty,ALP,Australian Labor Party (State of Queensland),N,8169,34.43,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Enoggera,0,2,WINES,Andrew,LNP,Liberal National Party of Queensland,Y,10703,45.11,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Enoggera,0,3,WHITEMAN,Craig,,,N,645,2.72,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Enoggera,0,4,ACKERMAN,Ell-Leigh,GRN,Queensland Greens,N,3821,16.11,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Enoggera,0,5,PERISSINOTTO,Kristin,,,N,387,1.63,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Enoggera,0,6,Exhausted,Exhausted,Exhausted,Exhausted,N,0,0,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Enoggera,1,1,BUSH,Jonty,ALP,Australian Labor Party (State of Queensland),N,8229,34.98,60,15.5,LNP,5,PERISSINOTTO,Kristin,,
Brisbane City Enoggera,1,2,WINES,Andrew,LNP,Liberal National Party of Queensland,Y,10719,45.56,16,4.13,LNP,5,PERISSINOTTO,Kristin,,
Brisbane City Enoggera,1,3,WHITEMAN,Craig,,,N,698,2.97,53,13.7,LNP,5,PERISSINOTTO,Kristin,,
Brisbane City Enoggera,1,4,ACKERMAN,Ell-Leigh,GRN,Queensland Greens,N,3879,16.49,58,14.99,LNP,5,PERISSINOTTO,Kristin,,
Brisbane City Enoggera,1,5,PERISSINOTTO,Kristin,,,N,0,0,-387,-100.0,LNP,5,PERISSINOTTO,Kristin,,
Brisbane City Enoggera,1,6,Exhausted,Exhausted,Exhausted,Exhausted,N,200,0.84,200,51.68,LNP,5,PERISSINOTTO,Kristin,,
Brisbane City Enoggera,2,1,BUSH,Jonty,ALP,Australian Labor Party (State of Queensland),N,8331,36.04,102,14.61,LNP,3,WHITEMAN,Craig,,
Brisbane City Enoggera,2,2,WINES,Andrew,LNP,Liberal National Party of Queensland,Y,10827,46.84,108,15.47,LNP,3,WHITEMAN,Craig,,
Brisbane City Enoggera,2,3,WHITEMAN,Craig,,,N,0,0,-698,-100.0,LNP,3,WHITEMAN,Craig,,
Brisbane City Enoggera,2,4,ACKERMAN,Ell-Leigh,GRN,Queensland Greens,N,3959,17.13,80,11.46,LNP,3,WHITEMAN,Craig,,
Brisbane City Enoggera,2,5,PERISSINOTTO,Kristin,,,N,0,0,0,0,LNP,3,WHITEMAN,Craig,,
Brisbane City Enoggera,2,6,Exhausted,Exhausted,Exhausted,Exhausted,N,608,2.56,408,58.45,LNP,3,WHITEMAN,Craig,,
Brisbane City Enoggera,3,1,BUSH,Jonty,ALP,Australian Labor Party (State of Queensland),N,10325,48.17,1994,50.37,LNP,4,ACKERMAN,Ell-Leigh,GRN,Queensland Greens
Brisbane City Enoggera,3,2,WINES,Andrew,LNP,Liberal National Party of Queensland,Y,11110,51.83,283,7.15,LNP,4,ACKERMAN,Ell-Leigh,GRN,Queensland Greens
Brisbane City Enoggera,3,3,WHITEMAN,Craig,,,N,0,0,0,0,LNP,4,ACKERMAN,Ell-Leigh,GRN,Queensland Greens
Brisbane City Enoggera,3,4,ACKERMAN,Ell-Leigh,GRN,Queensland Greens,N,0,0,-3959,-100.0,LNP,4,ACKERMAN,Ell-Leigh,GRN,Queensland Greens
Brisbane City Enoggera,3,5,PERISSINOTTO,Kristin,,,N,0,0,0,0,LNP,4,ACKERMAN,Ell-Leigh,GRN,Queensland Greens
Brisbane City Enoggera,3,6,Exhausted,Exhausted,Exhausted,Exhausted,N,2290,9.65,1682,42.49,LNP,4,ACKERMAN,Ell-Leigh,GRN,Queensland Greens
Brisbane City Forest Lake,0,1,MULKEARNS,Jenny,GRN,Queensland Greens,N,3920,16.34,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Forest Lake,0,2,HOOPER,Roger,LNP,Liberal National Party of Queensland,N,7399,30.85,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Forest Lake,0,3,STRUNK,Charles,ALP,Australian Labor Party (State of Queensland),Y,12667,52.81,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Forest Lake,0,4,Exhausted,Exhausted,Exhausted,Exhausted,N,0,0,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Forest Lake,1,1,MULKEARNS,Jenny,GRN,Queensland Greens,N,0,0,-3920,-100.0,ALP,1,MULKEARNS,Jenny,GRN,Queensland Greens
