DivisionID,DivisionNm,GivenNm,Surname,BallotPosition,Elected,PartyAb,PartyNm,TotalVotes
22,TENNYSON,Nicole,JOHNSTON,4,Y,Independent,IND,11571
22,TENNYSON,Darryl,PROUT,5,N,Animal Justice Party (Queensland),Animal Justice Party,428
23,THE GABBA,Informal,Informal,0,N,Informal,Informal,495
23,THE GABBA,Nathaniel,JONES,1,N,Liberal National Party of Queensland,LNP,6060
23,THE GABBA,Rachel,GALLAGHER,2,N,Australian Labor Party (State of Queensland),Australian Labor Party,5136
23,THE GABBA,Jonathan,SRI,3,Y,Queensland Greens,The Greens,9383
24,THE GAP,Informal,Informal,0,N,Informal,Informal,504
24,THE GAP,Steven,TOOMEY,1,Y,Liberal National Party of Queensland,LNP,12872
24,THE GAP,Allen,HASSALL,2,N,Independent,IND,443
24,THE GAP,Daniel,BEVIS,3,N,Australian Labor Party (State of Queensland),Australian Labor Party,7822
24,THE GAP,Rebecca,HALEY,4,N,Queensland Greens,The Greens,4317
25,WALTER TAYLOR,Informal,Informal,0,N,Informal,Informal,412
25,WALTER TAYLOR,Karthika,RAGHWAN,1,N,Australian Labor Party (State of Queensland),Australian Labor Party,3582
25,WALTER TAYLOR,Michaela,SARGENT,2,N,Queensland Greens,The Greens,8147
25,WALTER TAYLOR,James,MACKAY,3,Y,Liberal National Party of Queensland,LNP,10957
25,WALTER TAYLOR,Matt,ANTONIOLLI,4,N,Independent,IND,684
26,WYNNUM-MANLY,Informal,Informal,0,N,Informal,Informal,537
26,WYNNUM-MANLY,Megan,PICCARDI,1,N,Liberal National Party of Queensland,LNP,8292
26,WYNNUM-MANLY,Ken,AUSTIN,2,N,Queensland Greens,The Greens,2355
26,WYNNUM-MANLY,Peter,CUMMING,3,Y,Australian Labor Party (State of Queensland),Australian Labor Party,12436
